Speed,G-Force,Altitude (Sea Level),Altitude (Ground),Pressure,Mass,Thrust,atmospheric_density,Position1,Position2,Position3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3,Orientation1,Orientation2,Orientation3,Angular Velocity1,Angular Velocity2,Angular Velocity3,Time
0.00012588661857770067,0.9948591589927673,84.0725107510807,11.591028766706586,100068.90625,59200.19921875,0.0,1.1277897357940674,159783.06508760375,-1018.0328863449395,-578419.5966608857,9.0100003362852e-07,1.2754456165917463e-06,-8.110942762221924e-08,-8.195905926772728e-08,8.230713650568542e-08,2.997040870527586e-07,0.7009861911606111,0.09221812790782288,0.09726712675803001,6.531233092789514e-11,0.00029157071379622563,-4.0087037505436675e-10,0.0
0.0001248532359430157,0.9948592185974121,84.07251075096428,11.591028766706586,100068.90625,59200.19921875,0.0,1.1277872323989868,159783.06508760375,-1018.0328863188624,-578419.5966608857,9.498534769809063e-07,1.2691643880150925e-06,-8.876412423688535e-08,-8.227439981305576e-08,8.261651163963357e-08,3.00857017806435e-07,0.7009861911606111,0.09221812790782288,0.09726712675803001,-1.3696153138922937e-10,0.0002915707544067406,3.8385290010575563e-10,0.5
0.00012532884010350184,0.9948593378067017,84.07251075096428,11.591028766706586,100068.90625,59200.19921875,0.0,1.1277846097946167,159783.06508760375,-1018.0328863449395,-578419.5966608857,9.68045230566396e-07,1.2999694084052604e-06,-8.521167588026639e-08,-8.176635932702765e-08,8.048507133392094e-08,2.989566410582096e-07,0.7009861911606111,0.09221812790782288,0.09726712675803001,1.3355134978744217e-10,0.0002915706198706361,-5.973377895955926e-10,1.0
0.0001259012905147487,0.9948592185974121,84.0725107510807,11.591028766823001,100068.90625,59200.19921875,0.0,1.1277823448181152,159783.06508760375,-1018.0328863821924,-578419.5966608857,8.980591629665288e-07,1.2699173164839733e-06,-7.991329240707502e-08,-8.238558887805367e-08,7.721015561720937e-08,3.0111862386809656e-07,0.7009861911606111,0.09221812790782288,0.09726712675803001,1.8212020638531983e-11,0.0002915706313002711,-1.1881540744631205e-10,1.5
5.148877240384705,2.307462692260742,84.53776679188013,12.056286608451046,100063.5234375,58989.88671875,2700387.75,1.127730369567871,159783.18824592626,-1018.0337071605027,-578420.0453201141,-7.677210365833756,0.04941486500943611,27.933200033643807,0.00012684249072524953,0.017767654704880544,3.4299767206304666e-06,0.7009870405782417,0.09222796612051756,0.09724575893655879,-5.503721651930355e-05,0.0005245190800329716,0.00024082670620960336,2.0
25.120750543653813,5.115611553192139,92.23809119476937,19.756618141080253,99955.046875,58283.71875,2953611.25,1.1267235279083252,159785.22941452012,-1018.0467179566622,-578427.4701802543,-230.2285962206102,1.4651385059621502,837.5947502013813,0.00030082482750155474,0.042882393569182296,7.67654250030994e-06,0.7009980374462503,0.09223354755530674,0.09716513341615737,-6.42234645195906e-05,0.0005968219443153635,0.00023002941416398515,2.5
45.740015000944695,5.20635986328125,110.14787672902457,37.66641648404766,99695.46875,57567.78125,2955613.75,1.1243178844451904,159789.97446942853,-1018.0769017797429,-578444.7399390123,-774.4168000578397,4.925583414532748,2819.405070806488,-0.0001516831938596517,-0.021968490781111155,-3.283806173668844e-06,0.7010090393608318,0.09223286761365326,0.09708434748470188,-5.298201821566291e-05,0.0006507696193572179,0.00021209425827358505,3.0
67.5117397289482,5.2716569900512695,139.79800625657663,67.31659901968669,99263.265625,56823.1640625,2957363.0,1.1203134059906006,159797.82444277883,-1018.1268393807113,-578473.3320318966,-1690.7023568746865,10.758108221843973,6160.38045621544,0.0004636367909355289,0.06813516785198998,8.257007187272068e-06,0.7010211853187742,0.09221860339730453,0.09699746820751037,-4.7131585580726846e-05,0.000701626904162024,0.00017197300345480877,3.5
87.90653912273844,5.332319259643555,177.292209984269,104.81084619392641,98716.8046875,56135.83203125,2959576.75,1.115250587463379,159807.7436676431,-1018.1899798810482,-578509.4903608161,-2857.26049596161,18.194006959149895,10419.461766747188,-0.0010158352066968986,-0.15095267887619992,-1.4978865513402115e-05,0.7010333457193276,0.09218358687455541,0.09690766590657482,-6.397416019031051e-05,0.0007934512063790158,0.00013647898875440001,4.0
108.5898414964505,5.3935089111328125,224.64787909702864,152.15860841132235,98028.6328125,55448.50390625,2962360.0,1.1088740825653076,159820.2618572845,-1018.2697282794419,-578555.1615431462,-4276.301985579755,27.253846481508848,15608.118338677052,-6.722338215691546e-05,-0.010077043528914266,-8.219623270475247e-07,0.7010471824434763,0.09212196932525094,0.0968032989526475,-3.2721641247458074e-05,0.0009421671816077129,0.00010602195049459545,4.5
108.5898414964505,5.3935089111328125,224.64787909702864,152.15860841132235,98028.6328125,55448.50390625,2962360.0,1.1088740825653076,159820.2618572845,-1018.2697282794419,-578555.1615431462,-4276.301985579755,27.253846481508848,15608.118338677052,-6.722338215691546e-05,-0.010077043528914266,-8.219623270475247e-07,0.7010471824434763,0.09212196932525094,0.0968032989526475,-3.2721641247458074e-05,0.0009421671816077129,0.00010602195049459545,5.0
113.80647848280269,5.409012794494629,238.04397188010626,165.56912536465097,97834.484375,55276.66796875,2963144.0,1.1070752143859863,159823.80120365275,-1018.292288363636,-578568.0816298285,-4642.716931257711,29.595752222413505,16949.502938647136,-0.001379903791177883,-0.2072336348082658,-1.6122442520105065e-05,0.7010509986110309,0.09210224064157024,0.09677457181145888,-3.3931362785140556e-05,0.000977517159741749,0.00010102278463211154,5.5
