Model Name,Accuracy,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error,Mean Absolute Percentage Error,Mean Percentage Error,Median Absolute Error,R2 Score,Explained Variance Score,Max Error
3dSpaceModelK.h5,99.99615276048316,3.847239516850128e-05,0.006202611963399,0.0034981260524315,12.85731036926011,-2.2808764462882576,0.0023446138720793,0.9999619517076844,0.9999622210794264,0.1011146046154823
3dSpaceModel_1K.h5,99.9967524093183,3.247590681688613e-05,0.0056987636217767,0.0030325967688022,15.371310759765308,2.142312131499273,0.0019826872227077,0.9999678820933716,0.9999678934908872,0.1103464104168739
3dSpaceModel_1.5K.h5,99.99615276048316,3.847239516850128e-05,0.006202611963399,0.0034981260524315,12.85731036926011,-2.2808764462882576,0.0023446138720793,0.9999619517076844,0.9999622210794264,0.1011146046154823
3dSpaceModel_2K.h5,99.98896116062464,0.0001103883937535,0.0105065881119202,0.0032122948534467,8.438316871703229,-1.1444422893626416,0.0018777141952249,0.9998908284796046,0.9998928077210644,0.4255533264390288
3dSpaceModel_3K.h5,99.99389607631429,6.103923685712855e-05,0.00781276115449132,0.004785735824442939,28.813179535557833,-6.704352250579074,0.003212370882334392,0.9999396336329855,0.9999496463596143,0.11170425180984278
